"Dinophysis";"Dinophysis + phalacroma";"Dinophysis acuminata";"Dinophysis caudata";"Dinophysis tripos";"Dinophysis acuta";"Dinophysis sacculus";"Dinophysis fortii";"Dinophysis hastata + odiosa";"Code.Region";"Code_point_Libelle";"Year";"Month";"Date";"Heure";"Code.parametre";"Longitude";"Latitude";"ID.interne.passage";"Day";"Dinophysis_genus";"log_c";"true_count"
0;0;0;0;0;0;0;0;0;11;"At so";2013;5;2013-05-16;"16:50:00";"FLORTOT";1,4745046439;50,2312831163;60357830;136;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;5;2013-05-27;"14:15:00";"FLORTOT";1,4745046439;50,2312831163;60363930;147;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;6;2013-06-10;"14:16:00";"FLORTOT";1,4745046439;50,2312831163;60372108;161;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;6;2013-06-25;"14:20:00";"FLORTOT";1,4745046439;50,2312831163;60377290;176;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;7;2013-07-22;"12:00:00";"FLORTOT";1,4745046439;50,2312831163;60388669;203;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;8;2013-08-06;"13:00:00";"FLORTOT";1,4745046439;50,2312831163;60394668;218;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;9;2013-09-04;"12:15:00";"FLORTOT";1,4745046439;50,2312831163;60403908;247;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;10;2013-10-08;"14:50:00";"FLORTOT";1,4745046439;50,2312831163;60416828;281;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;11;2013-11-18;"12:15:00";"FLORTOT";1,4745046439;50,2312831163;60433148;322;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;12;2013-12-17;"12:12:00";"FLORTOT";1,4745046439;50,2312831163;60443530;351;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;1;2014-01-21;"14:45:00";"FLORTOT";1,4745046439;50,2312831163;60453011;21;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;2;2014-02-17;"14:00:00";"FLORTOT";1,4745046439;50,2312831163;60461571;48;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;3;2014-03-17;"12:50:00";"FLORTOT";1,4745046439;50,2312831163;60470910;76;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;3;2014-03-31;"13:10:00";"FLORTOT";1,4745046439;50,2312831163;60475114;90;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;4;2014-04-16;"13:25:00";"FLORTOT";1,4745046439;50,2312831163;60475588;106;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;4;2014-04-28;"12:00:00";"FLORTOT";1,4745046439;50,2312831163;60475882;118;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;5;2014-05-14;"12:35:00";"FLORTOT";1,4745046439;50,2312831163;60476260;134;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;5;2014-05-26;"10:50:00";"FLORTOT";1,4745046439;50,2312831163;60477052;146;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;6;2014-06-11;"11:15:00";"FLORTOT";1,4745046439;50,2312831163;60477126;162;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;6;2014-06-25;"11:40:00";"FLORTOT";1,4745046439;50,2312831163;60477632;176;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;7;2014-07-16;"15:40:00";"FLORTOT";1,4745046439;50,2312831163;60484927;197;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;8;2014-08-25;"12:55:00";"FLORTOT";1,4745046439;50,2312831163;60486278;237;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;9;2014-09-19;"09:35:00";"FLORTOT";1,4745046439;50,2312831163;60487276;262;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2014;11;2014-11-25;"13:20:00";"FLORTOT";1,4745046439;50,2312831163;60493763;329;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;1;2015-01-19;"10:55:00";"FLORTOT";1,4745046439;50,2312831163;60499798;19;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;2;2015-02-18;"11:00:00";"FLORTOT";1,4745046439;50,2312831163;60512113;49;0;0;0
