"Fortnight";"Year";"Code_point_Libelle";"latitude";"longitude";"ssr";"tcc";"u10";"v10"
1;2014;"les Hébihens";48,75;0;2,3283064e-10;0,9515664;1,8147861;4,79263115
1;2015;"Antifer ponton pétrolier";49,75;0,25;2,3283064e-10;0,975310145;6,1047095;5,4485078
1;2015;"Arcachon - Bouée 7";44,5;0;2,3283064e-10;0,93218684;0,31140217;1,26634965
1;2015;"At so";50,25;1,5;2,3283064e-10;0,9820243;5,8049088;4,3711486
1;2015;"Auger";45,75;0;2,3283064e-10;0,977660125;0,66225386;2,4704864
1;2015;"Cabourg";49,25;0;2,3283064e-10;0,9800101;3,69629505;3,3078201
1;2015;"Le Cornard";46;0;2,3283064e-10;0,9836723;1,13572845;2,5807278
1;2015;"Loguivy";48,75;0;2,3283064e-10;0,9996948;3,4275256;2,9525421
1;2015;"Men er Roue";47,5;0;2,3283064e-10;0,99041706;2,38047605;2,38980975
1;2015;"Ouest Loscolo";47,5;0;2,3283064e-10;0,99041706;2,38047605;2,38980975
1;2015;"Point 1 Boulogne";50,75;1,5;2,3283064e-10;0,98800606;6,6142199;4,8196305
1;2015;"Teychan bis";44,75;0;2,3283064e-10;0,932675135;0,123213527;1,39663495
1;2015;"les Hébihens";48,75;0;2,3283064e-10;0,9996948;3,4275256;2,9525421
1;2016;"Antifer ponton pétrolier";49,75;0,25;0;0,82190655;4,516922;6,15722975
1;2016;"Arcachon - Bouée 7";44,5;0;0;0,9915463;2,82167215;2,03574785
1;2016;"At so";50,25;1,5;0;0,884821385;3,0240068;5,46014925
1;2016;"Auger";45,75;0;0;0,98413015;2,42156685;2,7318969
1;2016;"Cabourg";49,25;0;0;0,827338915;2,5777549;4,1716914
1;2016;"Le Cornard";46;0;0;0,98316877;2,8186295;2,9321271
1;2016;"Loguivy";48,75;0;0;0,941251;2,60361725;3,74049805
1;2016;"Men er Roue";47,5;0;0;0,91874322;2,850577;3,13235725
1;2016;"Ouest Loscolo";47,5;0;0;0,91874322;2,850577;3,13235725
1;2016;"Point 1 Boulogne";50,75;1,5;0;0,9374361;3,98192695;5,62778365
1;2016;"Teychan bis";44,75;0;0;0,9863275;2,5067604;2,05577085
1;2016;"les Hébihens";48,75;0;0;0,941251;2,60361725;3,74049805
1;2017;"Antifer ponton pétrolier";49,75;0,25;-2,3283064e-10;0,8357545;3,41470575;-1,19657755
1;2017;"Arcachon - Bouée 7";44,5;0;-2,3283064e-10;0,66806035;0,921165925;-1,12214595
1;2017;"At so";50,25;1,5;-2,3283064e-10;0,8604825;3,02851225;-1,51103005
1;2017;"Auger";45,75;0;-2,3283064e-10;0,87674912;0,21857784;-1,386838
1;2017;"Cabourg";49,25;0;-2,3283064e-10;0,85508065;1,66722165;0,44008082
1;2017;"Le Cornard";46;0;-2,3283064e-10;0,944165525;0,46099372;-1,3742934
1;2017;"Loguivy";48,75;0;-2,3283064e-10;0,980467855;1,8536311;0,225567365
1;2017;"Men er Roue";47,5;0;-2,3283064e-10;0,96874857;1,37005325;-0,45267993
1;2017;"Ouest Loscolo";47,5;0;-2,3283064e-10;0,96874857;1,37005325;-0,45267993
1;2017;"Point 1 Boulogne";50,75;1,5;-2,3283064e-10;0,87058427;3,7072767;-1,40272795
1;2017;"Teychan bis";44,75;0;-2,3283064e-10;0,7182488;0,694214485;-1,15518025
1;2017;"les Hébihens";48,75;0;-2,3283064e-10;0,980467855;1,8536311;0,225567365
1;2018;"Antifer ponton pétrolier";49,75;0,25;0;0,9841912;-0,082746645;2,4263396
1;2018;"Arcachon - Bouée 7";44,5;0;0;0,994613375;1,6796502;1,3514875
1;2018;"At so";50,25;1,5;0;0,9372377;-0,5110062;1,51283945
1;2018;"Auger";45,75;0;0;0,9985351;0,51730062;1,7084476
1;2018;"Cabourg";49,25;0;0;0,99621563;-0,22501591;1,78043535
1;2018;"Le Cornard";46;0;0;0,9981689;0,67892625;1,7491579
1;2018;"Loguivy";48,75;0;0;1;-0,0149993747;1,718377
1;2018;"Men er Roue";47,5;0;0;0,99259916;0,316478335;1,25368335
1;2018;"Ouest Loscolo";47,5;0;0;0,99259916;0,316478335;1,25368335
1;2018;"Point 1 Boulogne";50,75;1,5;0;0,8721255;-0,265180365;1,9298722
1;2018;"Teychan bis";44,75;0;0;0,99734485;1,2499389;1,4319152
1;2018;"les Hébihens";48,75;0;0;1;-0,0149993747;1,718377
1;2019;"Antifer ponton pétrolier";49,75;0,25;0;0,90819892;1,41609065;-4,003544
1;2019;"Arcachon - Bouée 7";44,5;0;0;0,686921075;1,20558045;-1,7067347
1;2019;"At so";50,25;1,5;0;0,904673965;2,2656831;-3,3343281
1;2019;"Auger";45,75;0;0;0,81919032;-0,054176478;-2,43340615
1;2019;"Cabourg";49,25;0;0;0,8899486;1,60677695;-1,83059375
1;2019;"Le Cornard";46;0;0;0,86255775;-0,116007937;-2,51864755
1;2019;"Loguivy";48,75;0;0;0,907817435;1,38163495;-1,82023295
1;2019;"Men er Roue";47,5;0;0;0,79875787;0,8737674;-1,8762757
1;2019;"Ouest Loscolo";47,5;0;0;0,79875787;0,8737674;-1,8762757
1;2019;"Point 1 Boulogne";50,75;1,5;0;0,88569115;2,53000085;-3,88486535
1;2019;"Teychan bis";44,75;0;0;0,682816285;0,88981523;-2,0048443
1;2019;"les Hébihens";48,75;0;0;0,907817435;1,38163495;-1,82023295
1;2020;"Antifer ponton pétrolier";49,75;0,25;0;0,951520595;3,3416997;5,1794802
1;2020;"Arcachon - Bouée 7";44,5;0;0;0,82607237;-0,182273835;1,36608315
1;2020;"At so";50,25;1,5;0;0,960126935;2,9703564;4,23208595
1;2020;"Auger";45,75;0;0;0,97498968;-0,319190935;2,72874915
1;2020;"Cabourg";49,25;0;0;0,973662125;2,0755954;3,2864893
1;2020;"Le Cornard";46;0;0;0,98815864;0,0662989275;2,9246998
1;2020;"Loguivy";48,75;0;0;1;1,7780154;3,0240233
1;2020;"Men er Roue";47,5;0;0;0,99478126;1,3248249;2,6244818
1;2020;"Ouest Loscolo";47,5;0;0;0,99478126;1,3248249;2,6244818
1;2020;"Point 1 Boulogne";50,75;1,5;0;0,955304955;4,0156755;4,7880285
1;2020;"Teychan bis";44,75;0;0;0,867761285;-0,388407335;1,51304615
1;2020;"les Hébihens";48,75;0;0;1;1,7780154;3,0240233
1;2021;"Antifer ponton pétrolier";49,75;0,25;0;0,9227717;-0,293029915;-1,4394656
1;2021;"Arcachon - Bouée 7";44,5;0;0;0,90685606;0,47045316;-1,33611235
1;2021;"At so";50,25;1,5;0;0,953397525;-0,098979925;-1,7050322
1;2021;"Auger";45,75;0;0;0,885035035;-0,564794095;-1,78613895
1;2021;"Cabourg";49,25;0;0;0,94752263;0,64425035;-0,494919595
1;2021;"Le Cornard";46;0;0;0,911922245;-0,78663281;-1,8941269
1;2021;"Loguivy";48,75;0;0;0,970778075;0,668271125;-1,018174
1;2021;"Men er Roue";47,5;0;0;0,940411715;0,17466824;-1,1817779
1;2021;"Ouest Loscolo";47,5;0;0;0,940411715;0,17466824;-1,1817779
1;2021;"Point 1 Boulogne";50,75;1,5;0;0,95608317;0,286294075;-2,23153095
1;2021;"Teychan bis";44,75;0;0;0,879709475;0,165248335;-1,54699
1;2021;"les Hébihens";48,75;0;0;0,970778075;0,668271125;-1,018174
1;2022;"Antifer ponton pétrolier";49,75;0,25;2,3283064e-10;0,88160165;2,78329065;1,65149945
1;2022;"Arcachon - Bouée 7";44,5;0;2,3283064e-10;0,62460135;0,400568585;-0,23122386
1;2022;"At so";50,25;1,5;2,3283064e-10;0,84203375;2,6568497;1,7526191
1;2022;"Auger";45,75;0;2,3283064e-10;0,77704361;0,0600279195;-0,034012775
1;2022;"Cabourg";49,25;0;2,3283064e-10;0,94752263;1,68569785;1,4503777
1;2022;"Le Cornard";46;0;2,3283064e-10;0,792516725;0,55622911;0,04643593765
1;2022;"Loguivy";48,75;0;2,3283064e-10;0,9599896;1,8031073;1,33976075
1;2022;"Men er Roue";47,5;0;2,3283064e-10;0,87552833;1,5465065;0,6151636
1;2022;"Ouest Loscolo";47,5;0;2,3283064e-10;0,87552833;1,5465065;0,6151636
1;2022;"Point 1 Boulogne";50,75;1,5;2,3283064e-10;0,796911475;3,3288995;1,4738419
1;2022;"Teychan bis";44,75;0;2,3283064e-10;0,6298506;0,16999971;-0,14909913
1;2022;"les Hébihens";48,75;0;2,3283064e-10;0,9599896;1,8031073;1,33976075
2;2007;"Antifer ponton pétrolier";49,75;0,25;0;0,907100275;3,6336355;1,40564015
2;2007;"Arcachon - Bouée 7";44,5;0;0;0,9915463;0,552037775;-0,482190165
2;2007;"At so";50,25;1,5;0;0,914195895;3,61103215;0,52568735
2;2007;"Auger";45,75;0;0;0,9970702;0,3782741;0,0351524685
2;2007;"Cabourg";49,25;0;0;0,96261424;2,00336485;1,47195405
2;2007;"Le Cornard";46;0;0;0,99908445;0,4668041;0,023394681
2;2007;"Loguivy";48,75;0;0;1;2,04574625;1,0425597
2;2007;"Men er Roue";47,5;0;0;1;1,2014148;0,9663692
